time,nf,ns,fs,fa,fcw,faw,fsew,fshw,fdw,ffw,ss,sa,ssw,sfw,ssize
1.22,1041,10,1.004688,9.948257,1.999874,1.999854,4.000221,9.999466,10.00008,5.000185,1.819366,25.43101,2.001892,1.004584,5.138918
1.23,1041,10,1.004688,9.948257,1.999874,1.999854,4.000221,9.999466,10.00008,5.000185,1.819366,25.43101,2.001892,1.004584,5.138918
1.24,1043,10,1.004594,9.957784,1.99989,1.999857,4.000269,9.999477,10.00009,5.000178,1.819366,25.43101,2.001892,1.004584,5.138918
1.25,1044,10,1.00468,9.953474,1.999897,1.999858,4.000248,9.999484,10.00009,5.000185,1.819366,25.43101,2.001892,1.004584,5.138918
1.26,1044,10,1.00468,9.953474,1.999897,1.999858,4.000248,9.999484,10.00009,5.000185,1.819366,25.43101,2.001892,1.004584,5.138918
1.27,1045,10,1.004668,9.957799,1.99988,1.999849,4.000238,9.999489,10.00011,5.000189,1.819366,25.43101,2.001892,1.004584,5.138918
1.28,1045,10,1.004668,9.957799,1.99988,1.999849,4.000238,9.999489,10.00011,5.000189,1.819366,25.43101,2.001892,1.004584,5.138918
1.29,1046,10,1.004604,9.95767,1.999869,1.999828,4.000226,9.999458,10.00011,5.000171,1.819366,25.43101,2.001892,1.004584,5.138918
1.30,1046,10,1.004604,9.95767,1.999869,1.999828,4.000226,9.999458,10.00011,5.000171,1.819366,25.43101,2.001892,1.004584,5.138918
1.31,1046,10,1.004604,9.95767,1.999869,1.999828,4.000226,9.999458,10.00011,5.000171,1.819366,25.43101,2.001892,1.004584,5.138918
1.32,1047,10,1.004598,9.959999,1.999887,1.999833,4.000227,9.999469,10.00011,5.000151,1.819366,25.43101,2.001892,1.004584,5.138918
1.33,1047,10,1.004598,9.959999,1.999887,1.999833,4.000227,9.999469,10.00011,5.000151,1.819366,25.43101,2.001892,1.004584,5.138918
1.34,1048,10,1.004565,9.962272,1.999903,1.999845,4.000214,9.999461,10.00011,5.000179,1.819366,25.43101,2.001892,1.004584,5.138918
1.35,1048,10,1.004565,9.962272,1.999903,1.999845,4.000214,9.999461,10.00011,5.000179,1.819366,25.43101,2.001892,1.004584,5.138918
1.36,1049,10,1.004273,9.964729,1.999898,1.999876,4.000238,9.999461,10.00014,5.000189,1.819366,25.43101,2.001892,1.004584,5.138918
1.37,1050,10,1.004196,9.96202,1.999883,1.999861,4.000243,9.999471,10.00015,5.000165,1.819366,25.43101,2.001892,1.004584,5.138918
1.38,1051,10,1.004241,9.964876,1.999888,1.999862,4.000257,9.999459,10.00016,5.00017,1.819366,25.43101,2.001892,1.004584,5.138918
1.39,1051,10,1.004241,9.964876,1.999888,1.999862,4.000257,9.999459,10.00016,5.00017,1.819366,25.43101,2.001892,1.004584,5.138918
1.40,1051,10,1.004241,9.964876,1.999888,1.999862,4.000257,9.999459,10.00016,5.00017,1.819366,25.43101,2.001892,1.004584,5.138918
1.41,1052,10,1.004265,9.962749,1.999873,1.999867,4.000246,9.999469,10.00015,5.00018,1.819366,25.43101,2.001892,1.004584,5.138918
1.42,1052,10,1.004265,9.962749,1.999873,1.999867,4.000246,9.999469,10.00015,5.00018,1.819366,25.43101,2.001892,1.004584,5.138918
1.43,1054,10,1.004137,9.970051,1.999898,1.999898,4.000278,9.999431,10.00014,5.00022,1.819366,25.43101,2.001892,1.004584,5.138918
1.44,1055,10,1.004369,9.974101,1.999915,1.999901,4.000269,9.999449,10.00014,5.0002,1.819366,25.43101,2.001892,1.004584,5.138918
1.45,1057,10,1.004165,9.978453,1.999899,1.999954,4.000292,9.999436,10.00015,5.000209,1.819366,25.43101,2.001892,1.004584,5.138918
1.46,1056,10,1.004248,9.980475,1.999907,1.999947,4.000287,9.999429,10.00016,5.000193,1.819366,25.43101,2.001892,1.004584,5.138918
1.47,1057,10,1.004402,9.98254,1.999934,1.999953,4.000288,9.999434,10.00017,5.000215,1.819366,25.43101,2.001892,1.004584,5.138918
1.48,1058,10,1.004311,9.991153,1.999937,1.999958,4.000261,9.999446,10.00016,5.000204,1.819366,25.43101,2.001892,1.004584,5.138918
1.49,1060,10,1.004396,9.998434,1.999973,1.999985,4.00026,9.999479,10.00016,5.000203,1.819366,25.43101,2.001892,1.004584,5.138918
1.50,1061,10,1.00444,10.00123,1.999959,1.999986,4.000256,9.999468,10.00017,5.000207,1.819366,25.43101,2.001892,1.004584,5.138918
1.51,1061,10,1.00444,10.00123,1.999959,1.999986,4.000256,9.999468,10.00017,5.000207,1.819366,25.43101,2.001892,1.004584,5.138918
1.52,1061,10,1.00444,10.00123,1.999959,1.999986,4.000256,9.999468,10.00017,5.000207,1.819366,25.43101,2.001892,1.004584,5.138918
1.53,1061,10,1.00444,10.00123,1.999959,1.999986,4.000256,9.999468,10.00017,5.000207,1.819366,25.43101,2.001892,1.004584,5.138918
1.54,1060,10,1.004451,10.0076,1.999973,1.999977,4.000269,9.99948,10.00018,5.000202,1.819366,25.43101,2.001892,1.004584,5.138918
1.55,1060,10,1.004451,10.0076,1.999973,1.999977,4.000269,9.99948,10.00018,5.000202,1.819366,25.43101,2.001892,1.004584,5.138918
1.56,1063,10,1.004557,10.00873,1.99998,1.999999,4.000283,9.999483,10.00018,5.000195,1.819366,25.43101,2.001892,1.004584,5.138918
1.57,1063,10,1.004557,10.00873,1.99998,1.999999,4.000283,9.999483,10.00018,5.000195,1.819366,25.43101,2.001892,1.004584,5.138918
1.58,1064,10,1.004581,10.00449,1.999974,2.000016,4.000292,9.999502,10.00019,5.00019,1.819366,25.43101,2.001892,1.004584,5.138918
1.59,1064,10,1.004581,10.00449,1.999974,2.000016,4.000292,9.999502,10.00019,5.00019,1.819366,25.43101,2.001892,1.004584,5.138918
1.60,1065,10,1.004573,10.00669,1.999972,2.000017,4.000289,9.999511,10.00019,5.00019,1.819366,25.43101,2.001892,1.004584,5.138918
1.61,1068,10,1.004716,10.01259,1.999973,1.999995,4.000266,9.999531,10.0002,5.000213,1.819366,25.43101,2.001892,1.004584,5.138918
1.62,1068,10,1.004716,10.01259,1.999973,1.999995,4.000266,9.999531,10.0002,5.000213,1.819366,25.43101,2.001892,1.004584,5.138918
1.63,1069,10,1.004869,10.01002,1.999951,2.000003,4.000238,9.999516,10.00021,5.000197,1.819366,25.43101,2.001892,1.004584,5.138918
1.64,1070,10,1.005026,10.00767,1.999939,2.000003,4.000232,9.999515,10.00022,5.000212,1.819366,25.43101,2.001892,1.004584,5.138918
1.65,1070,10,1.005026,10.00767,1.999939,2.000003,4.000232,9.999515,10.00022,5.000212,1.819366,25.43101,2.001892,1.004584,5.138918
1.66,1070,10,1.005026,10.00767,1.999939,2.000003,4.000232,9.999515,10.00022,5.000212,1.819366,25.43101,2.001892,1.004584,5.138918
1.67,1070,10,1.005026,10.00767,1.999939,2.000003,4.000232,9.999515,10.00022,5.000212,1.819366,25.43101,2.001892,1.004584,5.138918
1.68,1070,10,1.005383,10.00893,1.999934,2.000038,4.000218,9.9995,10.0002,5.000218,1.819366,25.43101,2.001892,1.004584,5.138918
1.69,1073,10,1.005401,10.01699,1.99993,2.000041,4.000234,9.999488,10.00023,5.000234,1.819366,25.43101,2.001892,1.004584,5.138918
1.70,1072,10,1.005575,10.02451,1.999923,2.000041,4.000237,9.999487,10.00024,5.000237,1.819366,25.43101,2.001892,1.004584,5.138918
1.71,1071,10,1.00566,10.02222,1.999936,2.000037,4.000242,9.999487,10.00024,5.000239,1.819366,25.43101,2.001892,1.004584,5.138918
1.72,1071,10,1.00566,10.02222,1.999936,2.000037,4.000242,9.999487,10.00024,5.000239,1.819366,25.43101,2.001892,1.004584,5.138918
1.73,1074,10,1.005847,10.02801,1.999883,2.00006,4.000251,9.999507,10.00024,5.000266,1.819366,25.43101,2.001892,1.004584,5.138918
1.74,1074,10,1.005847,10.02801,1.999883,2.00006,4.000251,9.999507,10.00024,5.000266,1.819366,25.43101,2.001892,1.004584,5.138918
1.75,1073,10,1.005824,10.03132,1.999881,2.000055,4.000257,9.999523,10.00024,5.000281,1.819366,25.43101,2.001892,1.004584,5.138918
1.76,1075,10,1.00571,10.02606,1.999903,2.000045,4.000242,9.999533,10.00022,5.000289,1.819366,25.43101,2.001892,1.004584,5.138918
1.77,1075,10,1.00571,10.02606,1.999903,2.000045,4.000242,9.999533,10.00022,5.000289,1.819366,25.43101,2.001892,1.004584,5.138918
1.78,1075,10,1.00571,10.02606,1.999903,2.000045,4.000242,9.999533,10.00022,5.000289,1.819366,25.43101,2.001892,1.004584,5.138918
1.79,1075,10,1.00571,10.02606,1.999903,2.000045,4.000242,9.999533,10.00022,5.000289,1.819366,25.43101,2.001892,1.004584,5.138918
1.80,1075,10,1.00571,10.02606,1.999903,2.000045,4.000242,9.999533,10.00022,5.000289,1.819366,25.43101,2.001892,1.004584,5.138918
1.81,1075,10,1.00571,10.02606,1.999903,2.000045,4.000242,9.999533,10.00022,5.000289,1.819366,25.43101,2.001892,1.004584,5.138918
1.82,1075,10,1.005608,10.02966,1.999879,2.000032,4.000228,9.999515,10.00024,5.000261,1.819366,25.43101,2.001892,1.004584,5.138918
1.83,1077,10,1.005763,10.03216,1.999902,2.000015,4.000209,9.9995,10.00024,5.000253,1.819366,25.43101,2.001892,1.004584,5.138918
1.84,1078,10,1.005525,10.03637,1.999933,1.999968,4.000212,9.999543,10.00024,5.000221,1.819366,25.43101,2.001892,1.004584,5.138918
1.85,1078,10,1.005525,10.03637,1.999933,1.999968,4.000212,9.999543,10.00024,5.000221,1.819366,25.43101,2.001892,1.004584,5.138918
1.86,1078,10,1.005525,10.03637,1.999933,1.999968,4.000212,9.999543,10.00024,5.000221,1.819366,25.43101,2.001892,1.004584,5.138918
